rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,top_rank
4.45,1017,74,7,512,3.49,1
3.97,135900,3669,4667,44000,9.99,0
4.25,49387,957,432,5769,7.99,1
3.94,15281,1723,2534,30900,8.99,0
3.65,174498,3497,2845,82700,13.99,0
4.04,19706,1911,1628,25400,12.99,2
4.34,3113486,96563,45200,1000000,13.99,1
3.76,33708,1159,839,29400,15.99,0
3.29,31215,1787,432,20900,13.99,0
4.12,38515,1166,3292,90500,11.99,1
3.9,205747,7429,3755,126000,12.99,0
4.19,32881,1204,913,7067,8.99,1
4.28,70621,1617,1333,12400,8.49,1
3.99,892643,58347,17000,516000,12.99,0
4.25,917136,37042,13200,273000,9.99,1
3.84,188665,8379,2944,121000,8.99,0
3.9,266885,9499,16600,279000,13.99,0
4.21,241176,15061,14100,243000,9.99,1
3.85,963120,56284,20900,497000,9.99,0
4.39,31572,1382,1214,7550,9.99,1
3.49,87693,10371,8538,73700,8.04,0
4.02,10719,1060,432,12500,8.54,3
4.21,17219,165,722,44500,25.99,1
3.99,4578,230,92,18200,9.95,0
3.66,83544,2674,1274,32700,9.99,0
3.85,167631,7748,1904,82400,7.99,0
3.92,298025,16972,12100,222000,11.99,0
3.99,55519,5740,1556,19800,4.99,0
4.32,28953,996,294,3430,7.99,1
4.13,22305,2672,729,9879,13.99,1
4.2,106257,5193,1233,60400,9.99,1
3.78,4517,184,267,1342,8.99,0
4.23,1152519,101561,34500,574000,11.99,1
4.14,38780,2505,562,10600,11.99,1
4.4,74605,3381,1808,12100,8.99,1
4.05,72968,5565,963,81200,10.99,1
4.06,18333,1007,156,10400,2.99,1
4.22,527107,24086,10000,249000,10.99,1
4.33,82683,4975,1700,30400,8.99,1
4.28,160909,6691,2497,84700,7.99,1
4.07,70571,6275,1305,123000,11.99,1
4.07,25830,1624,791,21200,8.99,1
4.22,207260,16975,17800,114000,0.01,1
4.23,66979,4108,899,28900,9.99,1
4.26,92118,4444,1759,29200,8.99,1
4.23,260673,19283,7814,134000,9.99,1
4.26,25254,4882,615,70500,8.99,1
3.72,31416,4940,1025,44400,6.99,0
4.51,81189,9911,1372,77600,7.99,1
3.96,60238,6754,7962,120000,7.99,0
4.34,159897,2920,3136,205000,13.99,1
4.28,264093,14541,14200,263000,13.99,1
4.13,205867,7530,6595,149000,13.99,1
3.9,131385,5175,1621,66900,9.99,0
4.4,21847,1405,823,23200,13.99,1
3.93,31537,1479,2909,14400,14.99,0
4,119828,5929,3116,4158,6.99,0
3.94,12211,123,86,1471,9.99,0
3.93,14331,709,239,5219,6.99,0
3.92,17021,716,318,12400,13.99,0
3.8,23370,900,346,11900,9.59,0
3.91,2197,185,137,922,11.97,0
4.03,5751,621,134,9704,6.99,2
4.19,49098,1902,1321,16700,8.99,1
4.04,10882,731,2419,8271,13.99,2
3.66,56831,3216,781,40000,13.99,0
4.13,39652,1825,1476,16400,3.99,1
3.78,40568,1960,514,11000,9.99,0
3.96,5092,406,255,3872,8.99,0
4.11,2156,70,80,1865,9.99,1
3.9,323254,13759,18300,294000,8.99,0
4.24,97593,2453,911,15700,9.99,1
3.71,23287,787,172,6592,7.99,0
3.71,21030,1436,727,24000,14.99,0
4.04,20405,990,1110,9699,8.49,2
4.12,16145,555,702,4974,8.99,1
3.63,1966,173,775,2590,2.99,0
4.27,28050,1668,681,7507,6.99,1
3.78,37095,3410,1872,41000,11.99,0
3.77,388484,18140,7831,72700,8.99,0
4.17,6722,334,1048,1964,1.99,1
4.08,6210,291,864,1879,11.99,1
4.09,39368,1279,2220,60900,9.99,1
4.08,9667,650,1373,14800,13.99,1
3.99,33668,1759,1124,8365,3.99,0
4.2,79579,1419,2379,18300,9.99,1
4.02,15614,672,901,4574,12.99,3
4.11,178987,1392,1421,36700,7.99,1
4.08,13830,578,597,2850,9.99,1
4.2,17638,649,191,5160,12.99,1
3.93,14152,568,93,6103,12.99,0
3.7,18918,1410,933,15500,12.99,0
3.84,1756,146,26,1202,6.99,0
3.88,26107,1817,671,10600,11.99,0
3.84,4319,212,271,709,11.99,0
4.14,37873,1358,387,23300,7.99,1
4.1,115545,1991,2018,33900,9.99,1
4.15,7135,269,293,1176,3.99,1
4.1,26320,3609,1581,44000,9.99,1
4.16,50143,5233,35,460,11.99,1
4.02,15167,432,1610,5632,2.99,3
3.81,52685,2682,2232,25600,9.99,0
3.74,4975,459,293,4626,11.99,0
4,27804,1466,2645,14200,9.99,0
4.03,6893,248,462,1126,6.99,2
4.06,11602,277,392,4445,2.99,1
3.98,56748,486,382,12100,8.99,0
3.89,5153,282,565,1299,1.99,0
3.93,12561,479,751,3164,9.99,0
3.51,4304,399,97,1680,7.99,0
4.24,248603,4185,3756,137000,8.54,1
3.79,990,62,260,298,8.99,0
3.79,30868,1855,523,10900,10.99,0
4.03,2764,111,19,603,9.99,2
3.79,7603,940,720,17000,4.99,0
3.99,5036,186,205,7341,14.99,0
4.29,5211,603,446,1718,7.99,1
3.4,5936,305,53,1456,11.99,0
3.9,120,19,10,125,11.99,0
4.18,27204,1280,1052,13200,9.99,1
4.05,7440,485,272,6189,12.99,1
3.72,46893,1973,948,41800,11.99,0
4.11,23564,2043,637,28300,11.99,1
3.91,139,16,17,233,11.99,0
