language,num_pages,genres,rating_score,num_reviews,current_readers,want_to_read,price,rating
English,32,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Fantasy', 'Classics', 'Short Stories']",4.45,74,7,512,3.49,1
English,210,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'British Literature', 'Suspense', 'Mystery Thriller']",3.76,114,77,623,4.99,0
English,336,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Fantasy', 'Aliens', 'Adventure']",339,3961,11.99,7376,,1
English,217,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Medieval', 'Historical Mystery']",593,2502,0,52200,,1
English,304,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Horse Racing']",174,642,8.99,11900,,1
English,216,"['Fantasy', 'Young Adult', 'Short Stories', 'Fairy Tales', 'Fiction', 'Retellings', 'Romance']",592,6643,1.99,105000,,1
French,14,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Kids', 'Storytime', 'Humor']",4.21,767,125,114000,,1
English,304,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Adventure']",4.16,3769,1777,1407,5.99,1
English,288,"['Adventure', 'Fiction', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']",3.8,898,350,52800,9.59,0
English,111,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Self Help', 'Personal Development', 'Productivity']",3.95,2123,1166,41700,9.99,0
English,411,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Paranormal', 'Mystery']",3.84,5206,2552,25800,10.99,0
English,368,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'British Literature']",4.08,389,396,56200,8.99,1
English,444,"['Fantasy', 'Dragonlance', 'Fiction', 'Dragons', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy']",4.01,2918,4499,727,7.99,1
English,450,"['Fiction', 'Magical Realism', 'Literary Fiction', 'Historical Fiction', 'Contemporary', 'Fantasy', 'Literature']",4.04,2149,647,258,,1
