species,size,fragrance,height_cm,species type
rose,medium,mild,48.55,1
shoeblack plant,medium,mild,147.07,2
shoeblack plant,medium,none,102.93,2
hibiscus,large,none,184,3
shoeblack plant,large,mild,83.07,2
Hibiscus,large,none,120.88,3
rose,small,mild,99.24,1
rose,small,strong,96.75,1
hibiscus,large,none,160.88,3
shoeblack-plant,large,mild,60.43,
rose,small,strong,37,1
ROSE,small,strong,68.56,1
hibiscus,large,none,147.55,3
hibiscus,large,none,123.01,3
rose,small,mild,46.21,1
shoeblack plant,medium,none,101.99,2
rose,medium,strong,33.1,1
shoeblack plant,large,none,78.69,2
shoeblack plant,large,mild,129.65,2
shoeblack plant,medium,mild,126.98,2
shoeblack plant,large,none,76.07,2
shoeblack plant,large,none,70.41,2
hibiscus,large,none,187.12,3
shoeblack plant,medium,mild,106,2
hibiscus,large,none,174.18,3
rose,medium,strong,98.1,1
rose,small,mild,81.9,1
hibiscus,large,none,184.91,3
shoeblack plant,large,mild,70.25,2
rose,medium,strong,61.93,1
rose,small,mild,69.35,1
rose,small,strong,53.06,1
hibiscus,large,none,112.25,3
hibiscus,large,none,198.12,3
hibiscus,large,none,150.78,3
shoeblack plant,large,none,55.17,2
shoeblack plant,medium,mild,105.54,2
rose,small,mild,76.96,1
hibiscus,large,none,145.4,3
shoeblack plant,medium,mild,115.88,2
shoeblack plant,medium,mild,67.23,2
rose,small,mild,91.64,1
hibiscus,large,none,143.24,3
rose,medium,strong,46.73,1
hibiscus,large,none,158,3
hibiscus,large,none,152.97,3
rose,medium,mild,93.06,1
hibiscus,large,none,137.55,3
hibiscus,large,none,135.6,3
shoeblack plant,medium,mild,88.74,2
shoeblack plant,large,none,112.54,2
hibiscus,large,none,125.07,3
hibiscus,large,none,189.69,3
hibiscus,large,none,141.32,3
rose,medium,mild,62.8,1
shoeblack plant,medium,none,79.09,2
hibiscus,large,none,139.48,3
shoeblack plant,medium,mild,88.01,2
rose,medium,mild,92.55,1
rose,small,mild,33.08,1
hibiscus,large,none,175.14,3
shoeblack plant,medium,mild,132.47,2
rose,medium,strong,75.22,1
hibiscus,large,none,135.55,3
shoeblack plant,medium,none,135.58,2
hibiscus,large,none,127.68,3
hibiscus,large,none,193.84,3
hibiscus,large,none,143.79,3
hibiscus,large,none,122.56,3
rose,small,mild,41.81,1
shoeblack plant,medium,none,127.56,2
rose,small,strong,84.14,1
shoeblack plant,medium,none,113.29,2
hibiscus,large,none,159.29,3
shoeblack plant,medium,mild,109.36,2
rose,medium,strong,70.59,1
hibiscus,large,none,174.29,3
hibiscus,large,none,197.77,3
rose,small,strong,45.62,1
rose,medium,strong,64.57,1
hibiscus,large,none,126.47,3
shoeblack plant,medium,mild,107.51,2
shoeblack plant,medium,none,95.73,2
rose,small,mild,77.68,1
hibiscus,large,none,129.83,3
hibiscus,large,none,105.08,3
hibiscus,large,none,121.53,3
rose,small,mild,56.55,1
shoeblack plant,medium,mild,81.58,2
shoeblack plant,large,none,100.16,2
rose,small,strong,42.57,1
rose,small,mild,43,1
rose,small,mild,64.63,1
shoeblack plant,medium,none,80.72,2
shoeblack plant,medium,none,81.42,2
rose,medium,strong,38.55,1
rose,small,mild,99.24,1
rose,small,strong,76.23,1
shoeblack plant,large,none,131.5,2
hibiscus,large,none,184.04,3
rose,medium,mild,39,1
shoeblack plant,large,mild,143.01,2
shoeblack plant,medium,none,138.86,2
shoeblack plant,medium,none,140.72,2
rose,small,mild,41.13,1
shoeblack plant,medium,mild,56.51,2
rose,small,mild,60.78,1
hibiscus,large,none,165.83,3
shoeblack plant,large,mild,60.31,2
hibiscus,large,none,129.82,3
shoeblack plant,medium,mild,57.11,2
rose,small,strong,53.11,1
shoeblack plant,medium,none,115.81,2
shoeblack plant,large,mild,121.78,2
shoeblack plant,large,mild,135.3,2
hibiscus,large,none,177.77,3
shoeblack plant,large,none,112.75,2
hibiscus,large,none,140.01,3
hibiscus,large,none,122.6,3
rose,medium,mild,49.87,1
hibiscus,large,none,168.52,3
rose,small,mild,68.76,1
hibiscus,large,none,138.52,3
shoeblack plant,medium,mild,101.15,2
rose,small,strong,32.45,1
shoeblack plant,large,mild,131.44,2
rose,small,strong,75.56,1
shoeblack plant,large,none,147.81,2
hibiscus,large,none,151.75,3
rose,small,mild,30.27,1
shoeblack plant,large,mild,51.53,2
hibiscus,large,none,143.8,3
shoeblack plant,large,mild,139.18,2
shoeblack plant,medium,none,104.31,2
hibiscus,large,none,153.32,3
shoeblack plant,large,mild,124.37,2
rose,small,mild,62.18,1
rose,medium,mild,79.04,1
hibiscus,large,none,100.52,3
rose,small,mild,55.06,1
hibiscus,large,none,151.76,3
shoeblack plant,large,none,55.47,2
hibiscus,large,none,181.66,3
rose,small,mild,77.44,1
shoeblack plant,medium,none,69.9,2
shoeblack plant,medium,none,79.26,2
hibiscus,large,none,168.83,3
shoeblack plant,medium,mild,96.99,2
hibiscus,large,none,101.4,3
rose,medium,mild,35.27,1
Shoeblack plant,medium,none,86.45,2
shoeblack plant,medium,mild,81.34,2
rose,medium,mild,68.41,1
hibiscus,large,none,193.2,3
shoeblack plant,medium,none,60.7,2
rose,small,mild,98.07,1
shoeblack plant,medium,none,116.79,2
shoeblack plant,medium,none,121.08,2
rose,small,mild,33.39,1
rose,small,strong,65.26,1
hibiscus,large,none,110.34,3
rose,medium,mild,75.32,1
rose,medium,strong,90.5,1
shoeblack plant,medium,mild,69.13,2
rose,small,strong,92.65,1
rose,small,strong,55.91,1
rose,small,mild,66.14,1
rose,small,strong,76.54,1
shoeblack plant,medium,mild,120.92,2
shoeblack plant,large,none,50.92,2
rose,medium,mild,93.83,1
rose,small,strong,94.56,1
shoeblack plant,medium,none,114.57,2
hibiscus,large,none,127.19,3
shoeblack plant,large,mild,64.47,2
shoeblack plant,medium,mild,95.49,2
hibiscus,large,none,120.77,3
hibiscus,large,none,128.54,3
hibiscus,large,none,132.09,3
rose,small,strong,95.33,1
hibiscus,large,none,110.76,3
rose,small,mild,60.73,1
rose,small,mild,99.28,1
hibiscus,large,none,144.35,3
rose,small,strong,82.49,1
rose,medium,mild,67.13,1
rose,small,mild,66.31,1
rose,medium,mild,55.71,1
hibiscus,large,none,164.73,3
rose,small,mild,99.61,1
shoeblack plant,large,none,111.36,2
hibiscus,large,none,158.8,3
hibiscus,large,none,110.93,3
hibiscus,large,none,182.66,3
shoeblack plant,medium,none,92.65,2
rose,small,strong,88.31,1
shoeblack plant,large,none,121.93,2
hibiscus,large,none,118.95,3
shoeblack plant,large,none,82.36,2
rose,small,strong,90.21,1
hibiscus,large,none,196.45,3
shoeblack plant,medium,mild,93.7,2
hibiscus,large,none,157.54,3
rose,small,mild,71.1,1
shoeblack plant,large,mild,57.5,2
shoeblack plant,medium,none,139.54,2
hibiscus,large,none,141.12,3
hibiscus,large,none,170.25,3
shoeblack plant,medium,mild,54.89,2
hibiscus,large,none,119.27,3
hibiscus,large,none,134.18,3
hibiscus,large,none,165.33,3
hibiscus,large,none,184.38,3
rose,small,mild,55.48,1
shoeblack plant,large,none,80.51,2
shoeblack plant,medium,mild,68.32,2
shoeblack plant,large,mild,83.59,2
hibiscus,large,none,121.1,3
shoeblack plant,medium,mild,120.47,2
shoeblack plant,medium,none,105.05,2
shoeblack plant,medium,mild,74.19,2
shoeblack plant,large,none,113.59,2
shoeblack plant,large,mild,135.36,2
hibiscus,large,none,184.2,3
rose,small,mild,76.16,1
hibiscus,large,none,186.48,3
rose,medium,mild,87.7,1
shoeblack plant,medium,mild,110.95,2
hibiscus,large,none,166.3,3
hibiscus,large,none,169.31,3
hibiscus,large,none,138.49,3
rose,medium,strong,45.38,1
hibiscus,large,none,182.82,3
rose,small,mild,39.67,1
rose,small,mild,40.58,1
shoeblack plant,large,mild,133.69,2
shoeblack plant,medium,mild,60.59,2
rose,medium,strong,39.04,1
shoeblack plant,large,none,138.41,2
shoeblack plant,medium,mild,140.19,2
hibiscus,large,none,116.33,3
shoeblack plant,large,mild,84.32,2
hibiscus,large,none,149.27,3
shoeblack plant,medium,none,135.21,2
shoeblack plant,medium,mild,63.36,2
shoeblack plant,large,mild,120.62,2
rose,medium,strong,49.2,1
rose,medium,strong,56.04,1
rose,small,mild,45.38,1
hibiscus,large,none,185.09,3
rose,medium,strong,92.72,1
shoeblack plant,medium,none,143.49,2
hibiscus,large,none,161.18,3
rose,medium,mild,100,1
hibiscus,large,none,106.25,3
rose,small,strong,30.16,1
hibiscus,large,none,165.23,3
shoeblack plant,large,none,75.3,2
shoeblack plant,medium,mild,87.56,2
rose,small,strong,32.48,1
hibiscus,large,none,188.64,3
rose,medium,strong,38.32,1
shoeblack plant,large,none,129.93,2
hibiscus,large,none,159.19,3
rose,small,strong,97.02,1
shoeblack plant,medium,none,148.82,2
hibiscus,large,none,125.84,3
rose,small,strong,30.58,1
hibiscus,large,none,162.08,3
shoeblack plant,medium,none,70.62,2
hibiscus,large,none,120.33,3
rose,small,strong,93.58,1
hibiscus,large,none,182.55,3
rose,medium,mild,71.93,1
shoeblack plant,medium,mild,106.5,2
rose,medium,strong,91.75,1
hibiscus,large,none,173.2,3
shoeblack plant,medium,mild,145.27,2
hibiscus,large,none,105.9,3
hibiscus,large,none,135.72,3
shoeblack plant,medium,mild,85.92,2
hibiscus,large,none,111.73,3
shoeblack plant,large,mild,78.31,2
shoeblack plant,large,mild,147.24,2
hibiscus,large,none,106.08,3
shoeblack plant,large,none,123.89,2
rose,medium,mild,69.12,1
hibiscus,large,none,167.97,3
shoeblack plant,large,mild,82.27,2
hibiscus,large,none,177.82,3
rose,small,mild,56.45,1
shoeblack plant,large,mild,93.9,2
hibiscus,large,none,166.6,3
hibiscus,large,none,176.71,3
shoeblack plant,large,none,78.87,2
shoeblack plant,medium,mild,103.06,2
shoeblack plant,medium,none,68.34,2
hibiscus,large,none,108.35,3
shoeblack plant,large,mild,70.01,2
shoeblack plant,large,mild,62.15,2
shoeblack plant,large,none,127.62,2
shoeblack plant,medium,mild,143.8,2
hibiscus,large,none,144.72,3
shoeblack plant,large,none,131.17,2
hibiscus,large,none,173.53,3
hibiscus,large,none,125.76,3
rose,small,mild,88.01,1
shoeblack plant,large,mild,147.82,2
hibiscus,large,none,166.22,3
shoeblack plant,large,none,89.62,2
hibiscus,large,none,146.15,3
hibiscus,large,none,165.21,3
rose,small,mild,83.05,1
shoeblack plant,medium,none,133.7,2
rose,small,mild,30.52,1
rose,medium,strong,92.49,1
shoeblack plant,large,none,87.51,2
hibiscus,large,none,102.03,3
shoeblack plant,large,mild,135.35,2
shoeblack plant,large,none,103.53,2
rose,small,strong,62.48,1
hibiscus,large,none,152.72,3
hibiscus,large,none,195.76,3
shoeblack plant,large,none,118.69,2
rose,small,strong,97.64,1
rose,small,strong,56.75,1
rose,medium,strong,89,1
rose,small,strong,72.44,1
shoeblack plant,medium,none,149.8,2
hibiscus,large,none,142.33,3
rose,small,mild,92.86,1
hibiscus,large,none,195.52,3
rose,medium,mild,81.26,1
hibiscus,large,none,176.06,3
shoeblack plant,medium,mild,81.68,2
shoeblack plant,large,none,148.48,2
shoeblack plant,large,none,71.9,2
rose,medium,mild,98.22,1
rose,small,mild,48.81,1
hibiscus,large,none,143.49,3
hibiscus,large,none,120.43,3
hibiscus,large,none,107.8,3
shoeblack plant,large,mild,142.35,2
rose,small,mild,73.49,1
hibiscus,large,none,174.55,3
shoeblack plant,medium,none,61.04,2
hibiscus,large,none,110.78,3
hibiscus,large,none,148.2,3
rose,medium,mild,44.51,1
shoeblack plant,large,none,149.24,2
shoeblack plant,large,none,50.96,2
hibiscus,large,none,194.21,3
rose,small,strong,54.04,1
rose,medium,strong,45.12,1
rose,small,strong,46.17,1
shoeblack plant,large,none,66.64,2
hibiscus,large,none,169.81,3
hibiscus,large,none,144.35,3
rose,small,mild,91.2,1
rose,medium,strong,64.84,1
shoeblack plant,large,mild,104.6,2
rose,small,mild,89.96,1
shoeblack plant,large,mild,119.31,2
hibiscus,large,none,108.1,3
rose,medium,mild,79.2,1
rose,medium,mild,62.92,1
hibiscus,large,none,167.28,3
rose,medium,strong,82.63,1
rose,medium,strong,72.46,1
rose,medium,strong,38.52,1
hibiscus,large,none,105.22,3
rose,medium,mild,81.16,1
shoeblack plant,medium,none,60.82,2
rose,small,strong,80.25,1
shoeblack plant,large,mild,95.03,2
rose,medium,mild,34.46,1
hibiscus,large,none,128.78,3
shoeblack plant,medium,mild,94.81,2
shoeblack plant,medium,mild,86.56,2
shoeblack plant,large,mild,97.17,2
rose,medium,strong,99.75,1
rose,medium,strong,42.91,1
shoeblack plant,large,mild,145.82,2
shoeblack plant,medium,mild,62.81,2
rose,small,mild,62,1
hibiscus,large,none,168.62,3
rose,medium,mild,66.13,1
shoeblack plant,large,mild,70.96,2
hibiscus,large,none,168.76,3
rose,small,strong,68.95,1
rose,medium,mild,34.34,1
shoeblack plant,large,mild,105.55,2
shoeblack plant,large,none,57.33,2
rose,medium,strong,78.98,1
shoeblack plant,large,none,62.55,2
hibiscus,large,none,181.03,3
rose,medium,strong,57.58,1
hibiscus,large,none,131.4,3
hibiscus,large,none,182.37,3
hibiscus,large,none,180.86,3
rose,small,strong,56.84,1
hibiscus,large,none,178.06,3
rose,medium,strong,99.33,1
rose,small,strong,69.37,1
rose,small,mild,48.03,1
shoeblack plant,medium,mild,129.13,2
rose,medium,mild,65.51,1
rose,medium,strong,78.18,1
rose,medium,strong,78.84,1
hibiscus,large,none,126.08,3
rose,medium,mild,45.67,1
hibiscus,large,none,114.5,3
hibiscus,large,none,157.88,3
rose,small,strong,32.48,1
shoeblack plant,medium,none,141.79,2
hibiscus,large,none,115.83,3
hibiscus,large,none,189.37,3
rose,small,mild,47.8,1
hibiscus,large,none,157.01,3
shoeblack plant,medium,mild,78.14,2
rose,medium,strong,62.5,1
hibiscus,large,none,131.84,3
rose,small,mild,72.79,1
shoeblack plant,large,none,142.98,2
shoeblack plant,large,mild,95.56,2
shoeblack plant,medium,none,113.42,2
hibiscus,large,none,178.63,3
hibiscus,large,none,103.53,3
hibiscus,large,none,118.8,3
shoeblack plant,large,mild,100.45,2
shoeblack plant,large,none,147.99,2
hibiscus,large,none,122.35,3
hibiscus,large,none,155.23,3
rose,medium,strong,63.03,1
hibiscus,large,none,130.98,3
shoeblack plant,medium,mild,103.59,2
rose,small,strong,76.88,1
shoeblack plant,medium,mild,135.17,2
hibiscus,large,none,198.69,3
shoeblack plant,large,mild,136.85,2
shoeblack plant,large,none,52.28,2
shoeblack plant,large,none,63.63,2
rose,medium,strong,70.63,1
hibiscus,large,none,132.34,3
rose,small,strong,81.01,1
shoeblack plant,medium,mild,68.96,2
hibiscus,large,none,122.04,3
shoeblack plant,large,mild,125.77,2
shoeblack plant,large,none,147.54,2
shoeblack plant,large,none,140.16,2
hibiscus,large,none,119.06,3
hibiscus,large,none,115.67,3
shoeblack plant,large,none,117.03,2
rose,medium,mild,78.04,1
rose,small,mild,82.99,1
shoeblack plant,medium,none,106.41,2
hibiscus,large,none,110.93,3
hibiscus,large,none,125.03,3
hibiscus,large,none,185.62,3
hibiscus,large,none,114.37,3
hibiscus,large,none,128.43,3
rose,medium,strong,44.24,1
hibiscus,large,none,123.47,3
hibiscus,large,none,145.76,3
shoeblack plant,large,none,96.76,2
rose,small,mild,57.53,1
hibiscus,large,none,138.51,3
hibiscus,large,none,106.39,3
shoeblack plant,large,none,112.07,2
rose,small,strong,47.37,1
hibiscus,large,none,110.92,3
rose,small,mild,82.81,1
hibiscus,large,none,119.27,3
hibiscus,large,none,148.18,3
rose,small,strong,90.55,1
shoeblack plant,medium,mild,55.53,2
hibiscus,large,none,167.57,3
rose,small,strong,69.48,1
hibiscus,large,none,174.21,3
rose,medium,strong,54.79,1
rose,medium,strong,34.78,1
rose,medium,mild,89.03,1
hibiscus,large,none,198.44,3
rose,small,mild,69.11,1
hibiscus,large,none,174.7,3
hibiscus,large,none,180.69,3
rose,medium,strong,61.86,1
shoeblack plant,large,mild,137.36,2
rose,small,mild,67.49,1
hibiscus,large,none,192.31,3
rose,medium,strong,43.9,1
shoeblack plant,large,mild,70.86,2
hibiscus,large,none,113.25,3
hibiscus,large,none,110.18,3
hibiscus,large,none,196.16,3
rose,medium,strong,78.51,1
rose,small,mild,49.34,1
rose,medium,mild,91.24,1
shoeblack plant,medium,mild,121.33,2
rose,small,mild,43.95,1
shoeblack plant,medium,mild,99.2,2
rose,medium,strong,54.19,1
shoeblack plant,medium,mild,99.47,2
shoeblack plant,large,mild,65.38,2
hibiscus,large,none,165.57,3
hibiscus,large,none,152.32,3
shoeblack plant,large,none,85.59,2
hibiscus,large,none,122.2,3
hibiscus,large,none,111.04,3
rose,medium,strong,50.01,1
shoeblack plant,large,none,51.01,2
shoeblack plant,medium,mild,66.88,2
hibiscus,large,none,160.76,3
rose,medium,mild,59.6,1
shoeblack plant,large,none,112.39,2
hibiscus,large,none,199.65,3
rose,small,mild,75.89,1
shoeblack plant,medium,mild,126.97,2
shoeblack plant,medium,mild,96.44,2
rose,small,strong,68.39,1
shoeblack plant,medium,mild,140.82,2
rose,small,strong,82.49,1
hibiscus,large,none,123.5,3
hibiscus,large,none,149.33,3
hibiscus,large,none,129.26,3
rose,medium,strong,48.99,1
hibiscus,large,none,114.06,3
hibiscus,large,none,101.05,3
hibiscus,large,none,110.73,3
rose,small,strong,66.62,1
rose,small,strong,35.74,1
hibiscus,large,none,185.54,3
hibiscus,large,none,175.58,3
rose,small,mild,78.33,1
shoeblack plant,medium,mild,90.31,2
hibiscus,large,none,163.3,3
shoeblack plant,medium,none,108.78,2
rose,medium,mild,90.11,1
hibiscus,large,none,187.85,3
shoeblack plant,medium,mild,140.07,2
hibiscus,large,none,106.97,3
hibiscus,large,none,154.58,3
hibiscus,large,none,146.34,3
shoeblack plant,large,none,132.18,2
shoeblack plant,large,none,113.21,2
rose,small,strong,32.99,1
rose,medium,strong,63.14,1
shoeblack plant,medium,none,71.84,2
shoeblack plant,large,none,126.15,2
hibiscus,large,none,110.38,3
hibiscus,large,none,130.64,3
rose,medium,mild,32.29,1
hibiscus,large,none,189.56,3
hibiscus,large,none,195.67,3
rose,medium,mild,79.33,1
shoeblack plant,large,mild,99.92,2
hibiscus,large,none,101.47,3
hibiscus,large,none,114.82,3
shoeblack plant,large,mild,141.46,2
rose,small,strong,87.29,1
shoeblack plant,medium,none,59.54,2
hibiscus,large,none,173.33,3
hibiscus,large,none,129.51,3
rose,small,mild,98.82,1
hibiscus,large,none,182.55,3
hibiscus,large,none,179.8,3
shoeblack plant,medium,mild,119.69,2
rose,medium,mild,54.69,1
rose,medium,strong,93.01,1
rose,medium,mild,75.62,1
rose,small,mild,62.78,1
shoeblack plant,large,mild,77.01,2
shoeblack plant,medium,mild,78.46,2
hibiscus,large,none,145.33,3
shoeblack plant,large,mild,70.6,2
hibiscus,large,none,123.06,3
hibiscus,large,none,162.59,3
rose,medium,strong,80.04,1
hibiscus,large,none,157.69,3
shoeblack plant,medium,none,142.68,2
rose,small,mild,33.14,1
rose,small,strong,96.1,1
rose,small,mild,43.76,1
shoeblack plant,medium,none,84.5,2
rose,small,mild,67.65,1
hibiscus,large,none,132.72,3
shoeblack plant,medium,none,139.98,2
shoeblack plant,large,none,68.91,2
shoeblack plant,medium,none,109.58,2
shoeblack plant,medium,mild,141.35,2
shoeblack plant,large,none,143.15,2
hibiscus,large,none,146.88,3
shoeblack plant,large,none,65.93,2
hibiscus,large,none,143.11,3
shoeblack plant,medium,none,80.54,2
hibiscus,large,none,142.84,3
rose,medium,strong,81.81,1
hibiscus,large,none,152.72,3
rose,small,mild,79.8,1
shoeblack plant,medium,none,61.47,2
rose,small,mild,47.48,1
hibiscus,large,none,126.12,3
shoeblack plant,large,none,121.15,2
